year,state,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
2018,alabama,1.04,0.26,0.69,1.99,246.5185185,51.59689922,143.2603406,424.5333333
2017,alabama,1.07,0.26,0.67,1.99,253.6296296,51.59689922,139.107867,424.5333333
2016,alabama,1.09,0.26,0.65,2.01,258.3703704,51.59689922,134.9553933,428.8
2015,alabama,1.11,0.26,0.64,2.01,263.1111111,51.59689922,132.8791565,428.8
2014,alabama,1.13,0.25,0.62,2,267.8518519,49.6124031,128.7266829,426.6666667
2013,alabama,1.14,0.25,0.6,1.99,270.2222222,49.6124031,124.5742092,424.5333333
2012,alabama,1.16,0.24,0.6,2,274.962963,47.62790698,124.5742092,426.6666667
2011,alabama,1.16,0.24,0.59,1.98,274.962963,47.62790698,122.4979724,422.4
2010,alabama,1.17,0.23,0.58,1.98,277.3333333,45.64341085,120.4217356,422.4
2009,alabama,1.19,0.22,0.57,1.98,282.0740741,43.65891473,118.3454988,422.4
2008,alabama,1.22,0.22,0.57,2.01,289.1851852,43.65891473,118.3454988,428.8
2007,alabama,1.23,0.22,0.55,2,291.5555556,43.65891473,114.1930251,426.6666667
2006,alabama,1.21,0.21,0.54,1.95,286.8148148,41.6744186,112.1167883,416
2005,alabama,1.18,0.2,0.53,1.91,279.7037037,39.68992248,110.0405515,407.4666667
2004,alabama,1.19,0.2,0.52,1.91,282.0740741,39.68992248,107.9643147,407.4666667
2003,alabama,1.19,0.19,0.52,1.9,282.0740741,37.70542636,107.9643147,405.3333333
2002,alabama,1.18,0.21,0.54,1.92,279.7037037,41.6744186,112.1167883,409.6
2001,alabama,1.16,0.17,0.53,1.86,274.962963,33.73643411,110.0405515,396.8
2000,alabama,1.19,0.18,0.51,1.88,282.0740741,35.72093023,105.8880779,401.0666667
1999,alabama,1.18,0.17,0.51,1.87,279.7037037,33.73643411,105.8880779,398.9333333
1998,alabama,1.16,0.17,0.51,1.85,274.962963,33.73643411,105.8880779,394.6666667
1997,alabama,1.14,0.16,0.52,1.82,270.2222222,31.75193798,107.9643147,388.2666667
1996,alabama,1.17,0.18,0.53,1.88,277.3333333,35.72093023,110.0405515,401.0666667
1995,alabama,1.14,0.16,0.53,1.82,270.2222222,31.75193798,110.0405515,388.2666667
1994,alabama,1.16,0.17,0.54,1.87,274.962963,33.73643411,112.1167883,398.9333333
1993,alabama,1.14,0.17,0.56,1.86,270.2222222,33.73643411,116.269262,396.8
1992,alabama,1.02,0.19,0.59,1.79,241.7777778,37.70542636,122.4979724,381.8666667
1991,alabama,1,0.17,0.59,1.76,237.037037,33.73643411,122.4979724,375.4666667
1990,alabama,1.12,0.18,0.61,1.92,265.4814815,35.72093023,126.6504461,409.6
1989,alabama,1.12,0.17,0.61,1.9,265.4814815,33.73643411,126.6504461,405.3333333
1988,alabama,1.12,0.19,0.62,1.92,265.4814815,37.70542636,128.7266829,409.6
1987,alabama,1.11,0.18,0.62,1.91,263.1111111,35.72093023,128.7266829,407.4666667
1986,alabama,1.1,0.18,0.65,1.92,260.7407407,35.72093023,134.9553933,409.6
1985,alabama,1.07,0.17,0.67,1.92,253.6296296,33.73643411,139.107867,409.6
1984,alabama,1.03,0.19,0.69,1.91,244.1481481,37.70542636,143.2603406,407.4666667
1983,alabama,1.01,0.17,0.72,1.9,239.4074074,33.73643411,149.4890511,405.3333333
