Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Average
2000,4,4.1,4,3.8,4,4,4,4.1,3.9,3.9,3.9,3.9,3.966666667
2001,4.2,4.2,4.3,4.4,4.3,4.5,4.6,4.9,5,5.3,5.5,5.7,4.741666667
2002,5.7,5.7,5.7,5.9,5.8,5.8,5.8,5.7,5.7,5.7,5.9,6,5.783333333
2003,5.8,5.9,5.9,6,6.1,6.3,6.2,6.1,6.1,6,5.8,5.7,5.991666667
2004,5.7,5.6,5.8,5.6,5.6,5.6,5.5,5.4,5.4,5.5,5.4,5.4,5.541666667
2005,5.3,5.4,5.2,5.2,5.1,5,5,4.9,5,5,5,4.9,5.083333333
2006,4.7,4.8,4.7,4.7,4.6,4.6,4.7,4.7,4.5,4.4,4.5,4.4,4.608333333
2007,4.6,4.5,4.4,4.5,4.4,4.6,4.7,4.6,4.7,4.7,4.7,5,4.616666667
2008,5,4.9,5.1,5,5.4,5.6,5.8,6.1,6.1,6.5,6.8,7.3,5.8
2009,7.8,8.3,8.7,9,9.4,9.5,9.5,9.6,9.8,10,9.9,9.9,9.283333333
2010,9.8,9.8,9.9,9.9,9.6,9.4,9.4,9.5,9.5,9.4,9.8,9.3,9.608333333
2011,9.1,9,9,9.1,9,9.1,9,9,9,8.8,8.6,8.5,8.933333333
2012,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.1,7.8,7.8,7.7,7.9,8.075
2013,8,7.7,7.5,7.6,7.5,7.5,7.3,7.2,7.2,7.2,6.9,6.7,7.358333333
2014,6.6,6.7,6.7,6.2,6.3,6.1,6.2,6.1,5.9,5.7,5.8,5.6,6.158333333
2015,5.7,5.5,5.4,5.4,5.6,5.3,5.2,5.1,5,5,5.1,5,5.275
2016,4.9,4.9,5,5,4.8,4.9,4.8,4.9,5,4.9,4.7,4.7,4.875
2017,4.7,4.6,4.4,4.4,4.4,4.3,4.3,4.4,4.2,4.1,4.2,4.1,4.341666667
2018,4.1,4.1,4,4,3.8,4,3.8,3.8,3.7,3.8,3.7,3.9,3.891666667
