,state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
0,alabama,2018,246.51851851851856,51.5968992248062,143.2603406326034,424.53333333333336
1,alabama,2017,253.62962962962962,51.5968992248062,139.10786699107868,424.53333333333336
2,alabama,2016,258.3703703703704,51.5968992248062,134.95539334955393,428.8
3,alabama,2015,263.11111111111114,51.5968992248062,132.87915652879158,428.8
4,alabama,2014,267.8518518518519,49.61240310077518,128.72668288726683,426.66666666666674
5,alabama,2013,270.22222222222223,49.61240310077518,124.5742092457421,424.53333333333336
6,alabama,2012,274.962962962963,47.627906976744185,124.5742092457421,426.66666666666674
7,alabama,2011,274.962962962963,47.627906976744185,122.49797242497972,422.4
8,alabama,2010,277.33333333333337,45.64341085271318,120.42173560421736,422.4
9,alabama,2009,282.07407407407413,43.65891472868218,118.34549878345501,422.4
10,alabama,2008,289.1851851851852,43.65891472868218,118.34549878345501,428.8
11,alabama,2007,291.5555555555556,43.65891472868218,114.19302514193028,426.66666666666674
12,alabama,2006,286.8148148148148,41.67441860465117,112.1167883211679,416.0
13,alabama,2005,279.70370370370375,39.689922480620154,110.04055150040553,407.4666666666666
14,alabama,2004,282.07407407407413,39.689922480620154,107.96431467964315,407.4666666666666
15,alabama,2003,282.07407407407413,37.70542635658914,107.96431467964315,405.33333333333326
16,alabama,2002,279.70370370370375,41.67441860465117,112.1167883211679,409.6
17,alabama,2001,274.962962962963,33.73643410852713,110.04055150040553,396.8
18,alabama,2000,282.07407407407413,35.72093023255813,105.88807785888079,401.0666666666667
42,alaska,2018,251.2592592592593,105.1782945736434,259.52960259529596,608.0
43,alaska,2017,251.2592592592593,105.1782945736434,253.3008921330089,599.4666666666667
44,alaska,2016,272.5925925925927,111.13178294573645,255.37712895377132,627.2
45,alaska,2015,263.11111111111114,105.1782945736434,249.1484184914842,605.8666666666667
46,alaska,2014,263.11111111111114,103.1937984496124,242.91970802919715,597.3333333333334
47,alaska,2013,253.62962962962962,103.1937984496124,242.91970802919715,586.6666666666667
48,alaska,2012,277.33333333333337,105.1782945736434,234.61476074614762,603.7333333333332
49,alaska,2011,272.5925925925927,107.16279069767442,242.91970802919715,610.1333333333333
50,alaska,2010,291.5555555555556,109.14728682170544,259.52960259529596,646.4
51,alaska,2009,312.8888888888889,107.16279069767442,240.84347120843475,644.2666666666668
52,alaska,2008,284.4444444444445,97.24031007751935,226.30981346309815,593.0666666666667
53,alaska,2007,267.8518518518519,87.31782945736435,199.31873479318736,539.7333333333332
54,alaska,2006,296.2962962962963,93.27131782945736,213.85239253852401,586.6666666666667
55,alaska,2005,291.5555555555556,85.33333333333334,203.4712084347121,563.2
56,alaska,2004,310.5185185185185,87.31782945736435,197.242497972425,578.1333333333333
57,alaska,2003,301.03703703703707,73.42635658914728,164.0227088402271,518.4
58,alaska,2002,320.00000000000006,89.30232558139534,247.0721816707219,637.8666666666667
59,alaska,2001,312.8888888888889,75.4108527131783,199.31873479318736,569.6
60,alaska,2000,324.7407407407408,73.42635658914728,195.16626115166264,571.7333333333332
84,arizona,2018,256.00000000000006,77.3953488372093,164.0227088402271,480.0
85,arizona,2017,263.11111111111114,77.3953488372093,164.0227088402271,488.53333333333336
86,arizona,2016,270.22222222222223,79.37984496124031,164.0227088402271,494.9333333333333
87,arizona,2015,274.962962962963,79.37984496124031,161.94647201946472,499.2
88,arizona,2014,279.70370370370375,79.37984496124031,164.0227088402271,505.6
89,arizona,2013,265.4814814814815,83.34883720930233,168.17518248175185,501.33333333333326
90,arizona,2012,270.22222222222223,89.30232558139534,174.40389294403892,518.4
91,arizona,2011,272.5925925925927,87.31782945736435,166.09894566098947,509.8666666666666
92,arizona,2010,291.5555555555556,81.3643410852713,157.79399837794,509.8666666666666
93,arizona,2009,289.1851851851852,77.3953488372093,159.87023519870237,507.73333333333335
94,arizona,2008,308.1481481481481,81.3643410852713,159.87023519870237,529.0666666666667
95,arizona,2007,329.4814814814815,67.47286821705426,161.94647201946472,535.4666666666667
96,arizona,2006,317.6296296296297,75.4108527131783,164.0227088402271,535.4666666666667
97,arizona,2005,320.00000000000006,79.37984496124031,157.79399837794,535.4666666666667
98,arizona,2004,331.8518518518518,67.47286821705426,147.41281427412815,520.5333333333333
99,arizona,2003,334.22222222222223,73.42635658914728,147.41281427412815,531.1999999999998
