,state,year,number_of_drinks_total
0,alabama,2018,424.5333333
1,alabama,2017,424.5333333
2,alabama,2016,428.8
3,alabama,2015,428.8
4,alabama,2014,426.6666667
5,alabama,2013,424.5333333
6,alabama,2012,426.6666667
7,alabama,2011,422.4
8,alabama,2010,422.4
9,alabama,2009,422.4
10,alabama,2008,428.8
11,alabama,2007,426.6666667
12,alabama,2006,416
13,alabama,2005,407.4666667
14,alabama,2004,407.4666667
15,alabama,2003,405.3333333
16,alabama,2002,409.6
17,alabama,2001,396.8
42,alaska,2018,608
43,alaska,2017,599.4666667
44,alaska,2016,627.2
45,alaska,2015,605.8666667
46,alaska,2014,597.3333333
47,alaska,2013,586.6666667
48,alaska,2012,603.7333333
49,alaska,2011,610.1333333
50,alaska,2010,646.4
51,alaska,2009,644.2666667
52,alaska,2008,593.0666667
53,alaska,2007,539.7333333
54,alaska,2006,586.6666667
55,alaska,2005,563.2
56,alaska,2004,578.1333333
57,alaska,2003,518.4
58,alaska,2002,637.8666667
59,alaska,2001,569.6
84,arizona,2018,480
85,arizona,2017,488.5333333
86,arizona,2016,494.9333333
87,arizona,2015,499.2
88,arizona,2014,505.6
89,arizona,2013,501.3333333
90,arizona,2012,518.4
91,arizona,2011,509.8666667
92,arizona,2010,509.8666667
93,arizona,2009,507.7333333
94,arizona,2008,529.0666667
95,arizona,2007,535.4666667
96,arizona,2006,535.4666667
97,arizona,2005,535.4666667
98,arizona,2004,520.5333333
99,arizona,2003,531.2
100,arizona,2002,529.0666667
101,arizona,2001,533.3333333
126,arkansas,2018,379.7333333
127,arkansas,2017,388.2666667
128,arkansas,2016,384
129,arkansas,2015,390.4
130,arkansas,2014,381.8666667
131,arkansas,2013,384
132,arkansas,2012,384
133,arkansas,2011,366.9333333
134,arkansas,2010,384
135,arkansas,2009,388.2666667
136,arkansas,2008,396.8
137,arkansas,2007,386.1333333
138,arkansas,2006,384
139,arkansas,2005,379.7333333
140,arkansas,2004,386.1333333
141,arkansas,2003,377.6
142,arkansas,2002,373.3333333
143,arkansas,2001,371.2
168,california,2018,531.2
169,california,2017,492.8
170,california,2016,499.2
171,california,2015,486.4
172,california,2014,497.0666667
173,california,2013,497.0666667
174,california,2012,501.3333333
175,california,2011,480
176,california,2010,460.8
177,california,2009,486.4
178,california,2008,490.6666667
179,california,2007,490.6666667
180,california,2006,488.5333333
181,california,2005,482.1333333
182,california,2004,480
183,california,2003,475.7333333
184,california,2002,471.4666667
185,california,2001,469.3333333
210,colorado,2018,614.4
211,colorado,2017,605.8666667
212,colorado,2016,601.6
213,colorado,2015,590.9333333
214,colorado,2014,590.9333333
215,colorado,2013,599.4666667
216,colorado,2012,588.8
217,colorado,2011,580.2666667
218,colorado,2010,578.1333333
219,colorado,2009,576
220,colorado,2008,590.9333333
221,colorado,2007,593.0666667
222,colorado,2006,580.2666667
223,colorado,2005,580.2666667
224,colorado,2004,571.7333333
225,colorado,2003,554.6666667
226,colorado,2002,563.2
227,colorado,2001,593.0666667
252,connecticut,2018,512
253,connecticut,2017,514.1333333
254,connecticut,2016,520.5333333
255,connecticut,2015,514.1333333
256,connecticut,2014,503.4666667
257,connecticut,2013,505.6
258,connecticut,2012,507.7333333
259,connecticut,2011,501.3333333
260,connecticut,2010,501.3333333
261,connecticut,2009,492.8
262,connecticut,2008,503.4666667
263,connecticut,2007,497.0666667
