state,beer_tax,wine_tax,spirits_tax,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita
Alabama,1.05,,,1.04,0.26,0.69
Alaska,1.07,2.5,12.8,1.06,0.53,1.25
Arizona,0.16,0.84,3,1.08,0.39,0.79
Arkansas,0.24,0.75,2.5,0.9,0.23,0.64
California,0.2,0.2,3.3,1,0.62,0.87
Colorado,0.08,0.32,2.28,1.14,0.52,1.23
Connecticut,0.24,0.72,5.4,0.8,0.6,1.01
Delaware,0.26,1.63,4.5,1.11,0.72,1.69
District of Columbia,0.09,0.3,1.5,1.08,1.02,1.68
Florida,0.48,2.25,6.5,1.05,0.52,1.04
Georgia,1.01,0.42,1.89,0.95,0.25,0.7
Hawaii,0.93,1.38,5.98,1.28,0.59,0.79
Idaho,0.15,,,0.9,1.21,0.83
Illinois,0.23,1.39,8.55,1.08,0.45,0.85
Indiana,0.12,0.47,2.68,0.96,0.29,0.9
Iowa,0.19,1.75,,1.24,0.23,0.92
Kansas,0.18,0.3,2.5,0.99,0.14,0.79
Kentucky,0.08,0.5,1.92,0.93,0.22,0.81
Louisiana,0.4,0.76,3.03,1.23,0.34,0.99
Maine,0.35,,,1.34,0.44,1.07
Maryland,0.09,0.4,1.5,0.78,0.39,0.91
Massachusetts,0.11,0.55,4.05,0.91,0.63,1
Michigan,0.2,0.51,,1,0.4,0.96
Minnesota,0.15,0.3,5.03,1.14,0.44,1.21
Mississippi,0.43,,,1.21,0.18,0.78
Missouri,0.06,0.42,2,1.11,0.38,1.02
Montana,0.14,,,1.6,0.51,0.99
Nebraska,0.31,0.95,3.75,1.22,0.21,0.73
Nevada,0.16,0.7,3.6,1.35,0.6,1.46
New Hampshire,0.3,,,1.79,0.84,2.04
New Jersey,0.12,0.88,5.5,0.8,0.57,0.98
New Mexico,0.41,1.7,6.06,1.07,0.31,0.89
New York,0.14,0.3,6.44,0.88,0.52,0.81
North Carolina,0.62,1,,1.04,0.45,0.68
North Dakota,0.16,0.5,2.5,1.5,0.34,1.33
Ohio,0.18,0.32,,1.1,0.31,0.62
Oklahoma,0.4,0.72,5.56,1,0.2,0.65
Oregon,0.08,,,1.21,0.58,0.95
Pennsylvania,0.08,,,1.29,0.33,0.72
Rhode Island,0.11,1.4,5.4,0.9,0.57,1.15
South Carolina,0.77,1.08,2.96,1.11,0.25,0.8
South Dakota,0.27,0.93,3.93,1.37,0.22,0.77
Tennessee,1.29,1.21,4.4,0.98,0.32,0.84
Texas,0.19,0.2,2.4,1.21,0.34,0.71
Utah,,,,0.58,0.2,0.57
Vermont,0.27,0.55,,1.53,0.78,0.76
Virginia,0.28,,,0.94,0.49,0.7
Washington,0.76,0.87,14.25,0.91,0.51,0.81
West Virginia,0.18,,,1.15,0.11,0.47
Wisconsin,0.06,0.25,3.36,1.29,0.39,1.25
Wyoming,0.02,,,1.22,0.32,1.24
