State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,24338,25104,25712,26693,28415,29832,31362,32598,33353,32608,33751,34991,35877,36099,37256,38871,39509,41000,42676
Alaska,31974,33517,34634,35841,36916,38919,41058,43861,47749,47069,49432,52368,53597,52682,55775,57562,56217,57295,60234
Arizona,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33637,34968,36125,36604,38232,39699,40779,42566,44558
Arkansas,22762,23840,24266,25524,26924,28047,29438,31070,31940,31153,31927,33856,36231,36224,38247,39491,40360,41622,43290
California,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43636,46177,48819,49312,52376,55853,58074,60581,63759
Colorado,34187,35023,34608,34935,35870,37841,40140,42024,42689,39982,40688,43568,45660,47295,50687,52219,52431,55550,58836
Connecticut,43102,45223,44914,45254,47557,50035,53945,57861,61165,59973,62089,63793,64902,63539,66469,68340,69886,71699,74791
Delaware,33907,36952,37693,38013,38970,39405,41041,41687,40722,40690,40822,43881,44061,44315,45962,47976,48781,50738,52848
Florida,29428,30344,30727,31704,33694,36011,38448,39602,39247,36611,38473,40126,41106,40683,43123,45251,46042,48473,50939
Georgia,28861,29751,30111,30803,31960,33331,34687,35523,35175,34042,34520,36572,37246,37541,39786,41784,42868,44865,46921
Hawaii,29404,30347,31425,32603,34531,36594,38711,40605,42080,41352,41920,43524,44765,44943,47230,49456,51122,53382,55116
Idaho,25235,25805,26247,26700,28197,29297,31431,32638,32722,31186,31956,33506,35177,36189,37879,39748,40527,42218,44514
Illinois,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42093,44139,46048,47122,49459,51751,52413,54247,57138
Indiana,28233,28697,28983,29476,30691,31487,33071,33986,35228,34102,35453,37646,39326,39635,41083,42630,43648,45217,47300
Iowa,27463,28215,28848,29385,31660,32574,34392,36640,38537,37136,38104,40942,42896,43460,44783,46274,46520,47629,50154
Kansas,28244,29078,29202,29925,30664,32312,35447,37811,40791,39088,39561,42709,45108,45945,46858,47315,47355,48846,51236
Kentucky,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33139,34616,35741,35902,37563,39172,39735,40874,42309
Louisiana,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37648,38701,40545,40898,42668,42878,42499,43903,46159
Maine,27584,28885,29641,30837,32256,32946,34514,35686,37054,37055,37909,39462,40276,40154,41804,43595,44797,46525,48753
Maryland,35681,37157,38170,39524,41862,43841,45932,47586,49428,48755,50005,52426,53534,53039,54670,57007,58974,60714,62642
Massachusetts,38555,39872,39645,40479,42647,44609,47974,50238,51916,50942,53061,55296,57322,57362,59943,63588,65689,68405,71768
Michigan,30409,30796,30671,31327,32165,32877,33729,34792,35700,34030,35391,37506,39054,39355,41141,43465,44621,45931,47762
Minnesota,32447,33454,33932,35263,37205,38111,39754,41720,43104,41015,42605,45345,47851,47932,50243,52336,53058,54930,57346
Mississippi,21640,22781,23136,23989,25192,26703,27840,29368,30479,29855,30901,32155,33300,33840,34530,35185,35640,36510,37828
Missouri,28001,28716,29193,30082,31456,32387,34024,35397,37054,36182,36822,38334,40120,40308,41755,43127,44287,45307,47076
Montana,23094,23985,24526,26077,27922,29785,31912,33914,35253,34260,35895,38172,40303,40152,41869,43583,43970,46138,48141
